Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('12th Street', 'Isis Street')",-122.4143409,37.7706075,3,3,1,1,0,0,1,1,0,3,0,3,yes,yes,183.2583327,96.50670968,0.127878537,8.81E-05,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Street', 'Kissling Street')",-122.4161895,37.7714105,3,3,1,1,0,0,1,1,0,3,0,3,yes,None,183.2548852,95.25701725,0.102006182,0,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Street', 'Market Street', 'Page Street')",-122.420451,37.7743311,4,4,4,1,1,2,1,1,0,2,0,3,yes,None,101.8090256,143.9083931,0.461615073,0,-1,36.09828632,no,0,0,no,"{'residential': 2, 'primary': 1, 'cycleway': 2, 'track': 1}","{'residential': 2, 'primary': 1, 'cycleway': 3, 'track': 2}",25,25,25,25,2,2,0,2,2,0
"('12th Street', 'Mission Street', 'Otis Street', 'South Van Ness Avenue')",-122.4187023,37.7730813,5,5,5,1,0,0,4,1,0,5,0,5,yes,None,120.6331449,163.369159,1.448346893,0,-1,-1,no,0,0,no,"{'secondary': 1, 'trunk': 2, 'residential': 1, 'cycleway': 6}","{'secondary': 2, 'trunk': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,4,0,1,3,1,1
"('12th Street', 'Stevenson Street')",-122.4196758,37.7738924,3,3,1,1,0,2,1,1,0,3,0,3,yes,None,174.4247553,98.75307724,0.553425704,0,-1,80.17442608,no,0,0,no,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 4, 'track': 2}",25,25,25,25,0,3,0,1,2,0
"('13th Street', 'Bernice Street')",-122.4141025,37.769623,3,4,1,1,0,0,1,1,0,2,0,2,yes,None,133.9376769,138.0185222,0.926218075,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 2}","{'secondary': 1, 'secondary_link': 1, 'residential': 1, 'cycleway': 2}",25,25,25,25,2,1,0,2,1,1
"('13th Street', 'Duboce Avenue', 'Mission Street')",-122.4200716,37.770063,7,5,5,1,0,0,4,1,0,5,0,5,yes,None,139.8152184,176.4325253,2.33558504,0,-1,-1,no,0,0,yes,"{'secondary': 3, 'secondary_link': 1, 'motorway_link': 1, 'cycleway': 6}","{'secondary': 3, 'trunk': 1, 'cycleway': 5}",25,20,25,25,4,0,3,4,0,1
"('13th Street', 'Folsom Street')",-122.4155838,37.76958035,5,5,2,1,0,0,2,1,0,4,0,4,yes,None,158.6249138,176.312094,0.681111303,0,-1,-1,no,0,0,no,"{'secondary': 1, 'secondary_link': 1, 'primary': 1, 'tertiary': 1, 'cycleway': 4}","{'motorway_link': 1, 'secondary': 1, 'primary': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,20,2,2,1,2,2,1
"('13th Street', 'Harrison Street')",-122.4133727,37.76952495,5,5,1,1,0,0,1,1,0,4,0,3,yes,None,75.64333939,138.0006634,1.213995444,0,-1,-1,no,0,0,no,"{'tertiary': 1, 'secondary': 1, 'secondary_link': 1, 'cycleway': 4}","{'tertiary': 1, 'secondary': 1, 'secondary_link': 1, 'cycleway': 3}",25,25,25,25,3,2,0,3,2,0
"('13th Street', 'Isis Street')",-122.4147865,37.7696398,3,3,1,1,0,0,1,1,0,2,0,3,yes,None,147.00624,106.0434048,0.135394016,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 2}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",25,25,25,25,2,1,0,2,1,0
