intersection,number_of_traces,osm_file,filename_of_traces,coordinates_of_traces
"('3rd Street', 'Bryant Street')",3,BryantSt_2ndSt_3rdSt.osm,"['d570ce84-bedde293.json', 'ccd6e95c-833fa38f.json', 'cf0c81e8-3fda732d.json']","[[(37.77968632526489, -122.39799063664152), (37.77975987646522, -122.39789064053669), (37.779828021338005, -122.39779575739279), (37.77990282982381, -122.3977033050008), (37.77997960805686, -122.3975999561347), (37.7800674504021, -122.39749694254472), (37.780158855056186, -122.39738965418412), (37.780254283023794, -122.39727247517779), (37.780342586373706, -122.39716610882654), (37.780431224999745, -122.39705521624758), (37.780514792574365, -122.39694541331603), (37.78059659994932, -122.39683980133607), (37.78067761104347, -122.39674282271638), (37.78075309008153, -122.39665305253341), (37.78082219887318, -122.39656495873108), (37.78088870927485, -122.39647862512841), (37.78095798570456, -122.39639011223092), (37.78102994434329, -122.39630377862825), (37.78109662238302, -122.39622239034846), (37.78115496042909, -122.39615047361924), (37.78119108643176, -122.39610537898018), (37.78120160572024, -122.39609054301157), (37.781200138887186, -122.39608995627835), (37.781197624316235, -122.39608677115514), (37.78120173144879, -122.39608107146098), (37.78121929153593, -122.39606179308369), (37.781248712016065, -122.39602910366132), (37.78128496374728, -122.39598794851675), (37.78132523879202, -122.39596380863561), (37.781368405593355, -122.39596171315982), (37.78141207530888, -122.39598912198319), (37.78146031316163, -122.39603228878453), (37.78151798065545, -122.39610076893344), (37.78157372031154, -122.39617209892943), (37.78163172308149, -122.39624636259153), (37.78169110886546, -122.39632515248134), (37.78175334449651, -122.39641131844594), (37.78181662786545, -122.3964926229067), (37.78187320571186, -122.39656814385428), (37.78191913854124, -122.39662891265228)], [(37.78128787176132, -122.39587986314763), (37.7813245927478, -122.39583690223826), (37.781414121157766, -122.39572198795756), (37.78149517808615, -122.39561781952514), (37.78159249538477, -122.39549275445488), (37.78168737056529, -122.39537082781607), (37.78179080664896, -122.39523789933104), (37.78189420363271, -122.39510502109437), (37.781998467033866, -122.39497102940146), (37.782097501776725, -122.39484375719753), (37.782196835745786, -122.39471610045001), (37.78229103954548, -122.3945892690924), (37.78239501475642, -122.39445352831417), (37.78249177794556, -122.39432969984236), (37.7825839105048, -122.39421179721725), (37.78266986688104, -122.39410269889596), (37.78275073176182, -122.39400038220157), (37.78282069693052, -122.39391185669191), (37.78288133331726, -122.39383513470095), (37.78292759259797, -122.39377660377082), (37.78295471904956, -122.3937422812215), (37.78296175549497, -122.39373337814978), (37.78296141759861, -122.3937338056832), (37.78296135411715, -122.393733886005), (37.78296129064373, -122.39373396631663), (37.78296122717145, -122.39373404662682), (37.78296116369237, -122.39373412694562), (37.78296110021939, -122.39373420725668), (37.7829610367429, -122.39373428757222), (37.782961349836604, -122.39373389142109), (37.7829612863348, -122.39373397176863), (37.78296998882839, -122.39372296067991), (37.78298928787831, -122.39369854198327), (37.783016101343044, -122.3936646154499), (37.78304232597003, -122.39363687253105), (37.78317590266704, -122.39375853685713), (37.78322805718021, -122.39382468231047), (37.783279448573936, -122.39388985993037), (37.7833322646217, -122.3939568443812), (37.7833877573741, -122.39402722358793)], [(37.78013141761779, -122.39733858757124), (37.78021140454389, -122.39722863305242), (37.78029454014276, -122.3971201700706), (37.78038186194805, -122.39701345058012), (37.780471761540404, -122.39690506585384), (37.78051834306184, -122.39684890625045), (37.78062759273935, -122.39670401964352), (37.78071076457347, -122.39659344670089), (37.7807914790615, -122.39648614068139), (37.78087510811901, -122.3963749598823), (37.78096730934327, -122.39626322751478), (37.7810445513324, -122.39616974656667), (37.78114386403297, -122.39604946318056), (37.78125734537633, -122.39598786469772), (37.78134242169352, -122.39586750056817), (37.78142469007315, -122.39575744617953), (37.78151102367582, -122.39565258857085), (37.781595180960196, -122.39554665034453), (37.781687693645736, -122.39543772579391), (37.7817648093952, -122.3953307709155), (37.7818503058025, -122.39522053050221), (37.78192931949571, -122.39511986869863), (37.781997925122475, -122.39501445463672), (37.782072700037375, -122.39492496764852), (37.78214775315076, -122.39482140534035), (37.7822178356458, -122.39472743520558), (37.78229963745449, -122.39460859243569), (37.78237094088521, -122.39448433580107), (37.78245492359279, -122.39437686259323), (37.78250862285656, -122.39430814330206), (37.78258665944031, -122.3942082793869), (37.78267248556204, -122.39409938553197), (37.78275041218768, -122.39400078655224), (37.78282925805857, -122.39390102447014), (37.782905610570175, -122.39380441718498), (37.78298757720098, -122.39370070646861), (37.78305844930292, -122.39361103343471), (37.78315813246891, -122.3934897288562), (37.78323878359551, -122.39339049368475), (37.78332899067466, -122.39327930110633), (37.783414892958945, -122.39316984873226)]]"
"('Gough Street', 'Sacramento Street')",3,GoughSt_SacramentoSt.osm,"['d2662f02-94b6fe25.json', 'd7bd0786-302e2657.json', 'cc24b908-ec720dca.json']","[[(37.79087925098578, -122.4257829106291), (37.79088318537204, -122.42575203289778), (37.79088281949538, -122.42575490435988), (37.79088307622463, -122.42575288950513), (37.79088163225936, -122.42576422198981), (37.79087880940522, -122.42578637622829), (37.79087556640337, -122.42581182785744), (37.79086545087495, -122.42589127985615), (37.79085539341587, -122.42597027654784), (37.790842346312985, -122.42607275550947), (37.79082835569562, -122.42618264534119), (37.79081305060443, -122.42630285975716), (37.79079737550606, -122.42642598040847), (37.79078159493736, -122.42654992948046), (37.790766526986374, -122.42666828126973), (37.790749280784475, -122.42680374221301), (37.790733710219676, -122.42692604180141), (37.79071994375873, -122.4270341709881), (37.79070603043391, -122.42714345372264), (37.7906937650122, -122.42723979294003), (37.79068173644062, -122.42733427180916), (37.790673981352775, -122.42739518443908), (37.79067218463217, -122.42740929684878), (37.79067186263921, -122.42741182595468), (37.790670430207456, -122.42742307704393), (37.79066626457233, -122.4274557961821), (37.790665703446955, -122.42746020356253), (37.790665703446955, -122.42746020356253), (37.79064686185029, -122.4276111826284), (37.79064131808124, -122.42765626805658), (37.79063551195764, -122.4277035361213), (37.79063080084688, -122.42774188960864), (37.79062482854304, -122.42779051055847), (37.790619765523445, -122.4278317289606), (37.79061531525713, -122.42786795889482), (37.790611856156524, -122.42789611967855), (37.790609130627516, -122.42791830840379), (37.79060664505433, -122.42793854363164), (37.790604629135196, -122.42795495537256), (37.790603153675754, -122.42796696719267), (37.79060161478928, -122.42797949537677), (37.79059955875996, -122.42799623365755)], [(37.79143690617793, -122.42592642556701), (37.7913531325102, -122.42590947382268), (37.79127029823832, -122.42589271263569), (37.7911913245615, -122.42587673266826), (37.79111153783237, -122.42586058833695), (37.79103065136164, -122.4258442207065), (37.7909583198719, -122.42582958511775), (37.79089781079396, -122.42581734099076), (37.790877537248114, -122.4258132390969), (37.79088115007647, -122.42581396989408), (37.790738526667106, -122.42578390570998), (37.79069194195848, -122.42577406941564), (37.790641565588636, -122.42576343291148), (37.79059089214633, -122.42575273354305), (37.79054820144417, -122.42574371972296), (37.79050575083205, -122.42573475632526), (37.7904688375852, -122.42572696246498), (37.7904416422473, -122.42572122020647), (37.79043110616964, -122.42571899572795), (37.79042975034814, -122.4257187089097), (37.79042974569074, -122.42571870825486)], [(37.790975976962294, -122.42583315798429), (37.791039906829624, -122.42584609400164), (37.79110917213315, -122.42586010962856), (37.79118627194519, -122.42587571054482), (37.791266584012895, -122.4258919614514), (37.79134462332512, -122.42590775247272), (37.79149018578594, -122.4259372066011), (37.79158036512438, -122.4259554541204), (37.79165267371739, -122.42597008554783), (37.791699388971075, -122.42597953823963), (37.791734091893794, -122.42598400614592), (37.79178115468739, -122.42585351300066), (37.79178969117779, -122.42578565214671), (37.79180106546248, -122.42569523223922), (37.79181401070762, -122.42559232397734), (37.791830939514234, -122.42545774838254), (37.79184672226894, -122.42533228333052), (37.791865089348995, -122.42518627417702), (37.79188549893723, -122.42502402809909), (37.79190323883795, -122.4248830047095), (37.79192300534889, -122.42472587077636), (37.79193833285626, -122.42460402471427), (37.791949704711094, -122.42451362412298), (37.791959962395296, -122.42443208063416), (37.79196909861768, -122.42435945220917), (37.79209019720207, -122.42437374908161), (37.79216920358809, -122.42438974087935), (37.79225807270226, -122.42440772900625), (37.79235374970322, -122.42442709512744), (37.792448458221955, -122.42444626521673), (37.79253325944146, -122.42446342995514), (37.79260516847682, -122.42447798516778), (37.79265416325939, -122.42448790227311), (37.792681448302254, -122.42449342507841), (37.79269992273224, -122.4244971645147), (37.79270603948485, -122.42449840261551), (37.792706425377354, -122.42449848072458), (37.79270643387231, -122.42449848244405), (37.7927131992635, -122.42449985183674), (37.79272545795414, -122.42450233313618), (37.79275590400418, -122.42450849576554), (37.7928087203383, -122.4245191863967)]]"
"('13th Street', 'Harrison Street')",2,HarrisonSt_13thSt.osm,"['cde12db3-1c7b006f.json', 'cb078020-ab5a89f2.json']","[[(37.77088549457283, -122.41227809351162), (37.7708391845578, -122.4123375212051), (37.7707855403775, -122.41240843210593), (37.77073671579153, -122.41247808572129), (37.77068022176415, -122.41255176265017), (37.77061760894746, -122.41263365384415), (37.77054736859888, -122.41271805960909), (37.77046426202894, -122.41281176928655), (37.77037600058854, -122.41290505986885), (37.77028304528237, -122.41299072291926), (37.77018862314314, -122.41306574095265), (37.770092063618605, -122.41313891496733), (37.76999793484599, -122.41320471290723), (37.7699030936116, -122.41326556552426), (37.769813030062025, -122.41332063462809), (37.76972103867472, -122.41336966876165), (37.76962401814551, -122.41341090772525), (37.76951878335119, -122.41344862628952), (37.76941191408575, -122.41347796295062), (37.76929899536045, -122.41342549081195), (37.769211489492925, -122.4134414025023), (37.76915716520632, -122.41344757524801), (37.769120697027304, -122.41345171904466), (37.76909735011389, -122.41345437190158), (37.76907912190364, -122.41345644313185), (37.76904995219068, -122.41345974207503), (37.76904625596331, -122.4134598837519), (37.76903434712907, -122.41346034021906), (37.76902489721354, -122.41346070243553), (37.76901279230306, -122.41346116641832), (37.768994813422246, -122.41346185555113), (37.76897277788538, -122.41346204708827), (37.768951253738, -122.4134609735826), (37.768921958667526, -122.41345951250618), (37.76889002661525, -122.41345791991165), (37.7688650506068, -122.4134566742462), (37.768864254396874, -122.41345663453565), (37.76886571725128, -122.41345670749476), (37.76886433927375, -122.41345663876884), (37.76885264314318, -122.4134560554304)], [(37.76947317483773, -122.40992525963479), (37.7694554005922, -122.41011796921833), (37.76946916641108, -122.41034486327352), (37.76948909543022, -122.41055810935497), (37.76951295991718, -122.41078825048652), (37.76953919328556, -122.41100391523115), (37.769540799902956, -122.41126493092439), (37.76955323425116, -122.41150525514301), (37.7695641022108, -122.41172767707107), (37.769574471456195, -122.41194833444945), (37.76958364476022, -122.41214354234336), (37.76959190752124, -122.41234559096104), (37.76959887479403, -122.41253520349547), (37.769605906031636, -122.41272655688643), (37.769612841780585, -122.41291531166077), (37.7696203943308, -122.41312085236689), (37.76962679417928, -122.41329502261765), (37.769632245808154, -122.41347123365232), (37.769636022982645, -122.41360524253798), (37.769639787605165, -122.41373880622618), (37.76964254396442, -122.41383659825895), (37.7696444021635, -122.41390252461134), (37.76964602884728, -122.41396023716688), (37.76964728320688, -122.41400474003497), (37.769649173262266, -122.41407179653605), (37.76965035741002, -122.41411380866799), (37.76965134394992, -122.41414880997402), (37.76965209131643, -122.41417532534764), (37.76965253419668, -122.41418954422704), (37.76965335381727, -122.41421486606029), (37.769654400766846, -122.41424721107636), (37.76965572915413, -122.41428825112193), (37.76965748069064, -122.41434236415917), (37.769659181832736, -122.41439492015802), (37.76966069911279, -122.4144417957401), (37.769662334903806, -122.41449233277416), (37.76966425951046, -122.41455179256737), (37.769666372860065, -122.41461708357201), (37.76966815344992, -122.41467209405425), (37.76967014291869, -122.41473355782392)]]"
"('19th Avenue', 'Rivera Street')",2,RiveraSt_19thAve.osm,"['d449e273-f1531f44.json', 'cca366ff-997f0af2.json']","[[(37.74849759883969, -122.47609270747981), (37.74837476204871, -122.47608331974826), (37.74826143871783, -122.47607510548315), (37.748134033789626, -122.47606596920869), (37.74801169991284, -122.4760564976581), (37.74788542654155, -122.47604736138365), (37.74775735106109, -122.47603847656629), (37.74762923367111, -122.47602975938699), (37.74749814070551, -122.47601911436996), (37.747367383016034, -122.47600796643874), (37.74724551014392, -122.47599916544041), (37.74710519708483, -122.47598977770886), (37.74697070944844, -122.4759808928915), (37.74684305306314, -122.47597167279801), (37.746696495486184, -122.47596119541905), (37.74656661789654, -122.47595189150653), (37.74641620464413, -122.47594065975628), (37.74627375419973, -122.47592993092022), (37.74613905701576, -122.47592071082673), (37.7459909068772, -122.47591082018099), (37.745859772002085, -122.47590168390653)], [(37.74737698055409, -122.47602344585599), (37.74732548785568, -122.47601990663392), (37.74726008633263, -122.47601541142353), (37.7471882061281, -122.47601047091713), (37.747110203125864, -122.47600510957552), (37.747031066609004, -122.47599967032461), (37.74694717171804, -122.47599390401875), (37.74685639151752, -122.47598766446832), (37.74678796971835, -122.47598296166679), (37.74666920402961, -122.47597475050426), (37.74656663840488, -122.47596765932893), (37.74646476014509, -122.47596061567658), (37.7463724987931, -122.47595423691737), (37.746293500028784, -122.47594877510606), (37.74622074631804, -122.47594374506485), (37.74615948080644, -122.475939509294), (37.74609710658761, -122.4759351968694), (37.74603246448029, -122.4759307276477), (37.7459679167992, -122.47592626495442), (37.74590120093941, -122.47592165235774), (37.745832986894634, -122.47591693617966)]]"
"('1st Street', 'Harrison Street')",2,HarrisonSt.osm,"['cc24b908-5ec35400.json', 'd30f794f-853cd8af.json']","[[(37.78755162085543, -122.39104167780194), (37.787450860440146, -122.39117169865544), (37.78734013019894, -122.39131354169062), (37.78723167632279, -122.39145246875157), (37.78712686603281, -122.39158672845774), (37.787026823013136, -122.39171515484016), (37.78693102098925, -122.39183819248679), (37.78684039773096, -122.391954579093), (37.7867553541438, -122.39206379977959), (37.786658894697474, -122.39218823191736), (37.78656342436451, -122.39231138820622), (37.78647304352154, -122.3924279790765), (37.786383886702275, -122.39254245505865), (37.78629586600903, -122.39265495238361), (37.78620237506679, -122.39277444111428), (37.7861134992698, -122.39288803132867), (37.78603962678596, -122.39299053474103), (37.78594228777934, -122.39311878440583), (37.78584584702966, -122.39323689579025), (37.78575753704672, -122.39334504939106), (37.78567298758381, -122.39345281170603), (37.78559419282997, -122.39355544511446), (37.78554431654679, -122.39362041102518), (37.78550559494925, -122.39367084749895), (37.785480055779814, -122.39370411331781), (37.785502264463474, -122.3936751855937), (37.78548541814696, -122.393697128614), (37.78546732340569, -122.39372069775891), (37.78543780248689, -122.39375914997012), (37.78539796495742, -122.39381103999114), (37.78535098902712, -122.39387222807291), (37.78529592256432, -122.3939439544061), (37.78523715911728, -122.39402049621336), (37.78522796720959, -122.39403246905128), (37.78513785368369, -122.39414627272424), (37.78507383440612, -122.39422633560578), (37.78502048007596, -122.39429306084193), (37.78496633202709, -122.39436017690366), (37.784917430361354, -122.39441967310867), (37.7848085511222, -122.39455214099273), (37.78473817496932, -122.39463776393805)], [(37.786741736329404, -122.3920539836396), (37.78665617700367, -122.39219173772982), (37.78663164146671, -122.39222338845924), (37.78658574947099, -122.39228258892192), (37.78651982575288, -122.392367630214), (37.786458442307236, -122.39244681457556), (37.786380831772796, -122.39254635949726), (37.786309945696, -122.3926369574433), (37.786240303017536, -122.3927259662291), (37.78616842264093, -122.392817834968), (37.78611384635629, -122.39288758772501), (37.78604162694669, -122.39298775780414), (37.785957701888655, -122.3930999066825), (37.785891771039346, -122.39318065246593), (37.785822022163096, -122.39326607420273), (37.78575236025284, -122.3933513894319), (37.785684686694296, -122.39343757313331), (37.785619811664475, -122.39352207552858), (37.78555341527711, -122.39360855955462), (37.78548326703234, -122.39369993052928), (37.78542153076641, -122.39378034455544), (37.785366102504305, -122.39385254214712), (37.78533951240102, -122.39388717685054), (37.785332025073345, -122.39389692940287), (37.78532829798769, -122.39390178408526), (37.78532695881824, -122.39390352840857), (37.785322999424736, -122.3939086856815), (37.78532301355062, -122.39390866728195), (37.785323074427104, -122.39390858798782), (37.78532313415741, -122.39390851018663), (37.78532265257382, -122.39390913746908), (37.785322737201966, -122.39390902723744), (37.78532282184202, -122.39390891699028), (37.78532290645671, -122.39390880677617), (37.785322991065634, -122.39390869656957), (37.78532307540713, -122.3939085867113), (37.78532316002469, -122.39390847649345), (37.78532324464393, -122.3939083662734), (37.78532291595104, -122.39390879440941), (37.78532300058448, -122.39390868417088), (37.78532308521443, -122.39390857393688)]]"
"('2nd Street', 'Bryant Street')",2,BryantSt_2ndSt_3rdSt.osm,"['ccd6e95c-833fa38f.json', 'cf0c81e8-3fda732d.json']","[[(37.78128787176132, -122.39587986314763), (37.7813245927478, -122.39583690223826), (37.781414121157766, -122.39572198795756), (37.78149517808615, -122.39561781952514), (37.78159249538477, -122.39549275445488), (37.78168737056529, -122.39537082781607), (37.78179080664896, -122.39523789933104), (37.78189420363271, -122.39510502109437), (37.781998467033866, -122.39497102940146), (37.782097501776725, -122.39484375719753), (37.782196835745786, -122.39471610045001), (37.78229103954548, -122.3945892690924), (37.78239501475642, -122.39445352831417), (37.78249177794556, -122.39432969984236), (37.7825839105048, -122.39421179721725), (37.78266986688104, -122.39410269889596), (37.78275073176182, -122.39400038220157), (37.78282069693052, -122.39391185669191), (37.78288133331726, -122.39383513470095), (37.78292759259797, -122.39377660377082), (37.78295471904956, -122.3937422812215), (37.78296175549497, -122.39373337814978), (37.78296141759861, -122.3937338056832), (37.78296135411715, -122.393733886005), (37.78296129064373, -122.39373396631663), (37.78296122717145, -122.39373404662682), (37.78296116369237, -122.39373412694562), (37.78296110021939, -122.39373420725668), (37.7829610367429, -122.39373428757222), (37.782961349836604, -122.39373389142109), (37.7829612863348, -122.39373397176863), (37.78296998882839, -122.39372296067991), (37.78298928787831, -122.39369854198327), (37.783016101343044, -122.3936646154499), (37.78304232597003, -122.39363687253105), (37.78317590266704, -122.39375853685713), (37.78322805718021, -122.39382468231047), (37.783279448573936, -122.39388985993037), (37.7833322646217, -122.3939568443812), (37.7833877573741, -122.39402722358793)], [(37.78013141761779, -122.39733858757124), (37.78021140454389, -122.39722863305242), (37.78029454014276, -122.3971201700706), (37.78038186194805, -122.39701345058012), (37.780471761540404, -122.39690506585384), (37.78051834306184, -122.39684890625045), (37.78062759273935, -122.39670401964352), (37.78071076457347, -122.39659344670089), (37.7807914790615, -122.39648614068139), (37.78087510811901, -122.3963749598823), (37.78096730934327, -122.39626322751478), (37.7810445513324, -122.39616974656667), (37.78114386403297, -122.39604946318056), (37.78125734537633, -122.39598786469772), (37.78134242169352, -122.39586750056817), (37.78142469007315, -122.39575744617953), (37.78151102367582, -122.39565258857085), (37.781595180960196, -122.39554665034453), (37.781687693645736, -122.39543772579391), (37.7817648093952, -122.3953307709155), (37.7818503058025, -122.39522053050221), (37.78192931949571, -122.39511986869863), (37.781997925122475, -122.39501445463672), (37.782072700037375, -122.39492496764852), (37.78214775315076, -122.39482140534035), (37.7822178356458, -122.39472743520558), (37.78229963745449, -122.39460859243569), (37.78237094088521, -122.39448433580107), (37.78245492359279, -122.39437686259323), (37.78250862285656, -122.39430814330206), (37.78258665944031, -122.3942082793869), (37.78267248556204, -122.39409938553197), (37.78275041218768, -122.39400078655224), (37.78282925805857, -122.39390102447014), (37.782905610570175, -122.39380441718498), (37.78298757720098, -122.39370070646861), (37.78305844930292, -122.39361103343471), (37.78315813246891, -122.3934897288562), (37.78323878359551, -122.39339049368475), (37.78332899067466, -122.39327930110633), (37.783414892958945, -122.39316984873226)]]"
"('3rd Street', 'Terry A Francois Boulevard')",2,TerryAFrancoisBlvd_3rdSt.osm,"['cbd43d39-fce0236a.json', 'd49af90b-f446b6dd.json']","[[(37.7762359553374, -122.38994237956652), (37.776275121092866, -122.38994583949243), (37.77637061253089, -122.38995800195397), (37.77644885430087, -122.38997361487482), (37.77649129795119, -122.38999138745854), (37.77658912993193, -122.39005238401539), (37.77665360610262, -122.39010046180002), (37.776727169461324, -122.39015559599235), (37.776797176996745, -122.39020806516982), (37.77688304110941, -122.39027241851889), (37.77694844699992, -122.39032143886013), (37.777018674740795, -122.39037964439237), (37.7770758757588, -122.39051738737899), (37.7771182958494, -122.39057944254503), (37.77717168443998, -122.39065437025207), (37.77722805284921, -122.39073251285326), (37.777278613554984, -122.39080261555078), (37.77732597271067, -122.39086734647478), (37.77737376076748, -122.39093266362472), (37.77741804969603, -122.39099319813438), (37.777461093295656, -122.39105203051717), (37.77748366415337, -122.39108288057042), (37.77750281575154, -122.3911090571487), (37.77752275679277, -122.3911363127449), (37.777541258374924, -122.39116133412587), (37.777563906102195, -122.39119086958767), (37.77758504933197, -122.39121844299706), (37.777610178885844, -122.3912512150704), (37.77764274353924, -122.39129368344106), (37.77766807836456, -122.39132672321398), (37.777686982700985, -122.39135149516838), (37.777710367024, -122.39138221876348), (37.77773083941283, -122.39140911650111), (37.7777531664566, -122.39143845098523), (37.77777220886122, -122.39146346993185), (37.7777862965467, -122.39148196162995), (37.77778644227915, -122.39148215102023), (37.77779374031628, -122.39149163536823), (37.7777910068033, -122.39148808296258), (37.77779162108465, -122.39148888126739), (37.77779225237191, -122.39148970167264)], [(37.777267064281446, -122.39078669781375), (37.7772115662645, -122.39070961379802), (37.777151820980656, -122.39062756415784), (37.777092625166546, -122.3905418896199), (37.77695501338045, -122.39046431106132), (37.77691307954319, -122.39043507719197), (37.77682864591315, -122.39036814043864), (37.776733538706935, -122.39029274195583), (37.77667045765196, -122.39024273296042), (37.77660157109541, -122.39019537793264), (37.776508699957425, -122.39014194176528), (37.776438255263294, -122.39011224396924), (37.776361018073885, -122.3900940646142), (37.77628467036976, -122.39007945415784), (37.77620403309543, -122.39008148490947), (37.7761197633281, -122.39008874549933), (37.77603448446788, -122.3900960930315), (37.7759544294682, -122.39009892022048), (37.7758764186129, -122.39008667582304), (37.77579070353484, -122.39007322218922), (37.77569860349956, -122.39005876638775), (37.77560445060386, -122.39004532903118), (37.775528661684845, -122.39003463272425), (37.775468888935805, -122.3900261968252), (37.77543524779126, -122.39002144895424), (37.77543193450627, -122.39002098134087), (37.775432030146966, -122.3900209948389), (37.775428360189274, -122.39002047688729), (37.77542800949705, -122.39002042739308), (37.77542563332141, -122.39002009203662), (37.77542436559581, -122.39001991311888), (37.775425273536456, -122.39002004125913), (37.7754254691877, -122.39002006887196), (37.775423886428136, -122.39001984549257), (37.77541760079207, -122.39001913227423), (37.77541151087315, -122.39001846644146), (37.775413355858554, -122.39001866816037), (37.77541233805474, -122.39001855688021), (37.77541568177769, -122.39001892246148), (37.775412394786976, -122.39001856308295), (37.77541279389363, -122.39001860671871), (37.7754123754605, -122.3900185609699)]]"
"('3rd Street', 'Mariposa Street')",2,MariposaSt_3rdSt.osm,"['cbd43d39-fce0236a.json', 'd49af90b-f446b6dd.json']","[[(37.7762359553374, -122.38994237956652), (37.776275121092866, -122.38994583949243), (37.77637061253089, -122.38995800195397), (37.77644885430087, -122.38997361487482), (37.77649129795119, -122.38999138745854), (37.77658912993193, -122.39005238401539), (37.77665360610262, -122.39010046180002), (37.776727169461324, -122.39015559599235), (37.776797176996745, -122.39020806516982), (37.77688304110941, -122.39027241851889), (37.77694844699992, -122.39032143886013), (37.777018674740795, -122.39037964439237), (37.7770758757588, -122.39051738737899), (37.7771182958494, -122.39057944254503), (37.77717168443998, -122.39065437025207), (37.77722805284921, -122.39073251285326), (37.777278613554984, -122.39080261555078), (37.77732597271067, -122.39086734647478), (37.77737376076748, -122.39093266362472), (37.77741804969603, -122.39099319813438), (37.777461093295656, -122.39105203051717), (37.77748366415337, -122.39108288057042), (37.77750281575154, -122.3911090571487), (37.77752275679277, -122.3911363127449), (37.777541258374924, -122.39116133412587), (37.777563906102195, -122.39119086958767), (37.77758504933197, -122.39121844299706), (37.777610178885844, -122.3912512150704), (37.77764274353924, -122.39129368344106), (37.77766807836456, -122.39132672321398), (37.777686982700985, -122.39135149516838), (37.777710367024, -122.39138221876348), (37.77773083941283, -122.39140911650111), (37.7777531664566, -122.39143845098523), (37.77777220886122, -122.39146346993185), (37.7777862965467, -122.39148196162995), (37.77778644227915, -122.39148215102023), (37.77779374031628, -122.39149163536823), (37.7777910068033, -122.39148808296258), (37.77779162108465, -122.39148888126739), (37.77779225237191, -122.39148970167264)], [(37.777267064281446, -122.39078669781375), (37.7772115662645, -122.39070961379802), (37.777151820980656, -122.39062756415784), (37.777092625166546, -122.3905418896199), (37.77695501338045, -122.39046431106132), (37.77691307954319, -122.39043507719197), (37.77682864591315, -122.39036814043864), (37.776733538706935, -122.39029274195583), (37.77667045765196, -122.39024273296042), (37.77660157109541, -122.39019537793264), (37.776508699957425, -122.39014194176528), (37.776438255263294, -122.39011224396924), (37.776361018073885, -122.3900940646142), (37.77628467036976, -122.39007945415784), (37.77620403309543, -122.39008148490947), (37.7761197633281, -122.39008874549933), (37.77603448446788, -122.3900960930315), (37.7759544294682, -122.39009892022048), (37.7758764186129, -122.39008667582304), (37.77579070353484, -122.39007322218922), (37.77569860349956, -122.39005876638775), (37.77560445060386, -122.39004532903118), (37.775528661684845, -122.39003463272425), (37.775468888935805, -122.3900261968252), (37.77543524779126, -122.39002144895424), (37.77543193450627, -122.39002098134087), (37.775432030146966, -122.3900209948389), (37.775428360189274, -122.39002047688729), (37.77542800949705, -122.39002042739308), (37.77542563332141, -122.39002009203662), (37.77542436559581, -122.39001991311888), (37.775425273536456, -122.39002004125913), (37.7754254691877, -122.39002006887196), (37.775423886428136, -122.39001984549257), (37.77541760079207, -122.39001913227423), (37.77541151087315, -122.39001846644146), (37.775413355858554, -122.39001866816037), (37.77541233805474, -122.39001855688021), (37.77541568177769, -122.39001892246148), (37.775412394786976, -122.39001856308295), (37.77541279389363, -122.39001860671871), (37.7754123754605, -122.3900185609699)]]"
